,orig.ident,Extract_NO,Probe,Cell_NO,sample_name,original_sample_name,Cell_type,Batch,Volume.extract,Cell treatment
FuiFM_exp5_14_Reseq,FuiFM,14,,NA,FuiFM_exp5_14_Reseq,FuiFM_exp5_14,Raw264.7,5Reseq,1.55,
exp6_44,exp6,44,Gamma 3 6_13,5,exp6_44,exp6_44,Raw264.7_G9,6,1.26,
exp6_29,exp6,29,Gamma 8 12_05,1,exp6_29,exp6_29,Raw264.7_G9,6,0.97,
FuiFM_exp5_20_Reseq,FuiFM,20,,NA,FuiFM_exp5_20_Reseq,FuiFM_exp5_20,Raw264.7,5Reseq,1.78,
FuiFM_exp5_6_Reseq,FuiFM,6,,NA,FuiFM_exp5_6_Reseq,FuiFM_exp5_6,Raw264.7,5Reseq,1.37,
FuiFM_exp5_13_Reseq,FuiFM,13,,NA,FuiFM_exp5_13_Reseq,FuiFM_exp5_13,Raw264.7,5Reseq,1.39,
exp6_45,exp6,45,Gamma 3 6_13,6,exp6_45,exp6_45,Raw264.7_G9,6,1.6,
FuiFM_exp5_5_Reseq,FuiFM,5,,NA,FuiFM_exp5_5_Reseq,FuiFM_exp5_5,Raw264.7,5Reseq,1.99,
exp6_8,exp6,8,Gamma 5 1_13,1,exp6_8,exp6_8,Raw264.7_G9,6,1.2,
exp6_12,exp6,12,Gamma 5 1_13,1,exp6_12,exp6_12,Raw264.7_G9,6,0.91,
FuiFM_exp5_8_Reseq,FuiFM,8,,NA,FuiFM_exp5_8_Reseq,FuiFM_exp5_8,Raw264.7,5Reseq,0.86,
FuiFM_exp5_4_Reseq,FuiFM,4,,NA,FuiFM_exp5_4_Reseq,FuiFM_exp5_4,Raw264.7,5Reseq,1.46,
exp6_41,exp6,41,Gamma 3 6_13,2,exp6_41,exp6_41,Raw264.7_G9,6,1.21,
FuiFM_exp5_7_Reseq,FuiFM,7,,NA,FuiFM_exp5_7_Reseq,FuiFM_exp5_7,Raw264.7,5Reseq,1.54,
exp6_35,exp6,35,Gamma 8 12_05,5,exp6_35,exp6_35,Raw264.7_G9,6,1.33,
exp6_9,exp6,9,Gamma 5 1_13,2,exp6_9,exp6_9,Raw264.7_G9,6,0.49,
exp6_22,exp6,22,Gamma 8 12_30,3,exp6_22,exp6_22,Raw264.7_G9,6,1.5,
exp6_42,exp6,42,Gamma 3 6_13,3,exp6_42,exp6_42,Raw264.7_G9,6,1.3,
FuiFM_exp5_11_Reseq,FuiFM,11,,NA,FuiFM_exp5_11_Reseq,FuiFM_exp5_11,Raw264.7,5Reseq,1.11,
FuiFM_exp5_10_Reseq,FuiFM,10,,NA,FuiFM_exp5_10_Reseq,FuiFM_exp5_10,Raw264.7,5Reseq,1.48,
exp6_23,exp6,23,Gamma 8 12_30,4,exp6_23,exp6_23,Raw264.7_G9,6,0.86,
FuiFM_exp5_9_Reseq,FuiFM,9,,NA,FuiFM_exp5_9_Reseq,FuiFM_exp5_9,Raw264.7,5Reseq,0.92,
exp6_17,exp6,17,Gamma 8 12_30,1,exp6_17,exp6_17,Raw264.7_G9,6,0.92,
exp6_37,exp6,37,Gamma 3 5_13,2,exp6_37,exp6_37,Raw264.7_G9,6,0.7,
FuiFM_exp5_12_Reseq,FuiFM,12,,NA,FuiFM_exp5_12_Reseq,FuiFM_exp5_12,Raw264.7,5Reseq,0.83,
exp6_13,exp6,13,Gamma 5 1_13,2,exp6_13,exp6_13,Raw264.7_G9,6,0.81,
FuiFM_exp5_21_Reseq,FuiFM,21,,NA,FuiFM_exp5_21_Reseq,FuiFM_exp5_21,Raw264.7,5Reseq,1.2,
exp6_18,exp6,18,Gamma 8 12_30,2,exp6_18,exp6_18,Raw264.7_G9,6,1.12,
exp6_20,exp6,20,Gamma 8 12_30,1,exp6_20,exp6_20,Raw264.7_G9,6,1,
exp6_4,exp6,4,Gamma 5 10_17,1,exp6_4,exp6_4,Raw264.7_G9,6,3.36,
exp6_34,exp6,34,Gamma 8 12_05,3,exp6_34,exp6_34,Raw264.7_G9,6,1.13,
exp6_19,exp6,19,Gamma 8 12_30,3,exp6_19,exp6_19,Raw264.7_G9,6,1.07,
FuiFM_exp5_1_Reseq,FuiFM,1,,NA,FuiFM_exp5_1_Reseq,FuiFM_exp5_1,Raw264.7,5Reseq,0.85,
FuiFM_exp5_3_Reseq,FuiFM,3,,NA,FuiFM_exp5_3_Reseq,FuiFM_exp5_3,Raw264.7,5Reseq,1.43,
exp6_30,exp6,30,Gamma 8 12_05,2,exp6_30,exp6_30,Raw264.7_G9,6,1.32,
Live_seq_exp7_155,Live,NA,_10 10-03,NA,Live_seq_exp7_155,Live_seq_exp7_50,Raw264.7_G9,7,0.87,
Live_seq_exp7_24,Live,24,_10 11-30,NA,Live_seq_exp7_24,Live_seq_exp7_24,Raw264.7_G9,7,0.69,
Live_seq_exp7_74,Live,74,_11 14-35,NA,Live_seq_exp7_74,Live_seq_exp7_74,Raw264.7_G9,7,1.25,
Live_seq_exp7_150,Live,NA,_10 11-30,NA,Live_seq_exp7_150,Live_seq_exp7_22,Raw264.7_G9,7,0.79,
Live_seq_exp7_132,Live,NA,_10 11-24,NA,Live_seq_exp7_132,Live_seq_exp7_37,Raw264.7_G9,7,1.33,
Live_seq_exp7_27,Live,27,_10 11-23,NA,Live_seq_exp7_27,Live_seq_exp7_27,Raw264.7_G9,7,0.9,
Live_seq_exp7_45,Live,45,_10 09-12,NA,Live_seq_exp7_45,Live_seq_exp7_45,Raw264.7_G9,7,0.91,
Live_seq_exp7_116,Live,NA,_11 14-01,NA,Live_seq_exp7_116,Live_seq_exp7_81,IBA,7,1.95,
Live_seq_exp7_117,Live,NA,_11 14-01,NA,Live_seq_exp7_117,Live_seq_exp7_82,IBA,7,0.95,
Live_seq_exp7_39,Live,39,_10 11-24,NA,Live_seq_exp7_39,Live_seq_exp7_39,Raw264.7_G9,7,0.83,
Live_seq_exp7_52,Live,52,_10 10-03,NA,Live_seq_exp7_52,Live_seq_exp7_52,Raw264.7_G9,7,0.59,
