"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","percent.rRNA","percent.protein","sample_name","original_sample_name","Batch","Cell_type","Compartment","Species","sampling_type","treatment","ERCC","Sequencer","Sequencing_run","Sequencing_protocol","i5_index","i7_index","cDNA_profile","cDNA_concentration","trial","Date","Probe","Cell_NO","Extract_NO","Note","Volume_preloaded_buffer_fl","Volume_extract_and_preload_fl","Volume_cell_extract_fl","Extraction_time_h","library_concentration","mCherry_TNFa","double_extraction","double_extraction_order","celltype_treatment","input.reads","ave.read.len","uniquely.mapped","multiple.mapped","too.many.mapped","too.many.mismatches","too.short","others","mCherry.log.intercept","mCherry.log.slope","mCherry.AUC","sample_ID"
"exp6_44","exp6",316627,1067,3.97691921409103,20.9552565005511,73.820299595423,"exp6_44","exp6_44","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0409","2X76","1.4","2.12","weak",0.2102,"no","11.12.18","Gamma 3 6_13",5,44,"Detached cell",0,1264,1264,"","0.7934","Detached_cell","",NA,"Raw264.7_not_treated",1074157,74,502111,0,220597,0,27.91,4.8,NA,NA,NA,"sample1"
"exp6_29","exp6",358767,1689,29.3374251254993,52.5315873533519,23.5793704549192,"exp6_29","exp6_29","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0409","2X76","1.3","2.33","pass",0.2255,"no","07.12.18","Gamma 8 12_05",1,29,"",180,1146,966,"","1.6475","Detached_cell","",NA,"Raw264.7_not_treated",1303702,74,828474,0,354562,0,8.08,1.18,NA,NA,NA,"sample2"
"FuiFM_exp5_20_Reseq","FuiFM",531092,7880,6.26746401753369,12.2259420213447,80.2510676116379,"FuiFM_exp5_20_Reseq","FuiFM_exp5_20","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","2.21","fail",9.6699,"no","","",NA,NA,"",136,1916,1780,"","1.485657901","","",NA,"Raw264.7_LPS_treated",1289450,74,873362,0,282845,0,9.72,0.61,NA,NA,NA,"sample3"
"FuiFM_exp5_6_Reseq","FuiFM",594710,5429,14.6814413747877,7.88434699265188,76.5383127911083,"FuiFM_exp5_6_Reseq","FuiFM_exp5_6","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","2.6","pass",2.28968,"no","","",NA,NA,"",253,1628,1375,"","3.278580935","","",NA,"Raw264.7_LPS_treated",1220442,73,865918,0,226462,0,9.72,0.77,NA,NA,NA,"sample4"
"FuiFM_exp5_13_Reseq","FuiFM",688918,2512,16.2714575609869,3.93805939168377,82.027033696318,"FuiFM_exp5_13_Reseq","FuiFM_exp5_13","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","3.13","pass",0.57612,"no","","",NA,NA,"",705,2095,1390,"","3.789710404","","",NA,"Raw264.7_LPS_treated",1267316,73,902140,0,206133,0,11.71,0.84,NA,NA,NA,"sample5"
"exp6_45","exp6",436340,3150,0.642159783654948,23.2701563001329,74.962185451712,"exp6_45","exp6_45","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0409","2X76","1.4","2.13","pass",0.7295,"no","11.12.18","Gamma 3 6_13",6,45,"",818,2418,1600,"","1.9832","Detached_cell","",NA,"Raw264.7_not_treated",1317132,73,695702,0,480729,0,9.55,1.13,NA,NA,NA,"sample6"
"FuiFM_exp5_5_Reseq","FuiFM",363579,1349,1.67446414671915,3.07856064294142,93.3370739234114,"FuiFM_exp5_5_Reseq","FuiFM_exp5_5","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","2.5","pass",0.35396,"no","","",NA,NA,"",983,2976,1993,"","3.470558539","","",NA,"Raw264.7_LPS_treated",1155141,72,485565,0,229214,0,36.77,1.35,NA,NA,NA,"sample7"
"exp6_12","exp6",752767,3513,12.2744488002264,14.731251502789,73.5325804664657,"exp6_12","exp6_12","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.3","2.12","pass",0.5063,"no","15.11.18","Gamma 5 1_13",1,12,"",96,1003,907,"4.5","2.3486","low","",NA,"Raw264.7_LPS_treated",1419311,73,1013659,0,311280,0,5.88,0.77,6.25165674799253,0.872382551465136,11690.4937,"sample8"
"FuiFM_exp5_8_Reseq","FuiFM",705143,7959,10.2004841571142,6.72005536465653,80.1010575159932,"FuiFM_exp5_8_Reseq","FuiFM_exp5_8","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","2.8","pass",5.222,"no","","",NA,NA,"",1096,1957,861,"","2.73241085","","",NA,"Raw264.7_LPS_treated",1387459,74,979587,0,245913,0,10.85,0.82,NA,NA,NA,"sample9"
"exp6_41","exp6",528748,3037,1.34241642521579,24.0965450460333,73.5174412007232,"exp6_41","exp6_41","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0409","2X76","1.4","2.9","pass",0.5198,"no","11.12.18","Gamma 3 6_13",2,41,"Detached cell",144,1351,1207,"","2.2469","Detached_cell","",NA,"Raw264.7_not_treated",1339699,72,861107,0,328467,0,9.76,1.45,NA,NA,NA,"sample10"
