"","FuiFM_exp5_29_2","FuiFM_exp5_30_2","exp6_58","exp6_57"
"ENSMUSG00000000290",0,0,0,1
"ENSMUSG00000000326",7,3,55,92
"ENSMUSG00000000594",0,0,1,0
"ENSMUSG00000001020",0,0,0,1
"ENSMUSG00000001027",0,10,0,0
"ENSMUSG00000001128",0,0,0,1
"ENSMUSG00000001521",0,0,1,0
"ENSMUSG00000002014",1,0,0,0
"ENSMUSG00000004040",0,0,1,0
"ENSMUSG00000004895",0,0,0,1
"ENSMUSG00000004980",1,0,0,0
"ENSMUSG00000005813",1,0,0,0
"ENSMUSG00000006050",1,0,0,0
"ENSMUSG00000007029",0,0,0,1
"ENSMUSG00000007739",1,0,0,0
"ENSMUSG00000010376",1,0,0,0
"ENSMUSG00000015749",0,0,1,0
"ENSMUSG00000017978",0,0,74,0
"ENSMUSG00000018395",0,0,1,2
"ENSMUSG00000018666",0,0,0,1
"ENSMUSG00000018770",0,0,0,1
"ENSMUSG00000019173",1,0,0,0
"ENSMUSG00000020140",0,0,5,5
"ENSMUSG00000020368",1,0,0,0
"ENSMUSG00000020717",0,0,1,1
"ENSMUSG00000020917",0,0,1,0
"ENSMUSG00000021087",0,0,0,1
"ENSMUSG00000021258",0,0,2,0
"ENSMUSG00000021939",1,0,0,0
"ENSMUSG00000021987",1,0,0,0
"ENSMUSG00000022114",1,0,0,0
"ENSMUSG00000022234",1,0,0,0
"ENSMUSG00000022679",0,0,0,1
"ENSMUSG00000022837",0,0,0,1
"ENSMUSG00000023010",1,0,0,0
"ENSMUSG00000024308",0,0,0,1
"ENSMUSG00000024378",0,0,0,1
"ENSMUSG00000024400",0,1,0,0
"ENSMUSG00000024530",0,0,1,0
"ENSMUSG00000024608",1,0,0,0
"ENSMUSG00000024661",0,0,0,1
"ENSMUSG00000025001",0,0,0,1
"ENSMUSG00000025170",0,0,0,2
"ENSMUSG00000025393",1,0,0,0
"ENSMUSG00000025979",2,0,0,0
"ENSMUSG00000026150",0,7,8,5
"ENSMUSG00000026158",0,0,0,1
"ENSMUSG00000026558",0,0,1,0
"ENSMUSG00000026864",0,0,0,1
"ENSMUSG00000026867",1,0,0,0
"ENSMUSG00000027335",0,0,30,0
"ENSMUSG00000027363",1,0,0,0
"ENSMUSG00000027509",1,0,0,0
"ENSMUSG00000027593",0,0,0,2
"ENSMUSG00000027776",0,0,1,0
"ENSMUSG00000027905",1,0,0,0
"ENSMUSG00000027993",0,0,0,1
"ENSMUSG00000028478",0,0,1,0
"ENSMUSG00000028565",0,1,0,0
"ENSMUSG00000028822",0,0,0,1
"ENSMUSG00000028932",0,0,0,3
"ENSMUSG00000029169",1,0,0,0
"ENSMUSG00000029188",0,1,0,0
"ENSMUSG00000029231",0,0,0,1
"ENSMUSG00000029390",0,0,0,1
"ENSMUSG00000029430",0,0,0,1
"ENSMUSG00000029482",1,0,0,0
"ENSMUSG00000029570",0,1,0,0
"ENSMUSG00000029580",0,0,1,0
"ENSMUSG00000029649",0,0,0,1
"ENSMUSG00000029814",1,0,0,0
"ENSMUSG00000030067",0,13,0,0
"ENSMUSG00000030104",1,0,0,0
"ENSMUSG00000030516",0,0,0,1
"ENSMUSG00000031153",1,0,0,0
"ENSMUSG00000031297",1,0,0,0
"ENSMUSG00000031304",0,0,0,1
"ENSMUSG00000031353",1,0,0,0
"ENSMUSG00000031609",0,0,1,0
"ENSMUSG00000031660",0,0,1,0
"ENSMUSG00000032115",1,0,0,0
"ENSMUSG00000032187",0,1,0,0
"ENSMUSG00000032350",0,365,0,0
"ENSMUSG00000032387",1,0,0,0
"ENSMUSG00000032555",1,0,0,0
"ENSMUSG00000032621",3,0,0,0
"ENSMUSG00000033075",0,0,0,1
"ENSMUSG00000033352",379,0,0,0
"ENSMUSG00000034297",0,1,0,0
"ENSMUSG00000034566",0,0,0,1
"ENSMUSG00000034997",1,0,0,0
"ENSMUSG00000035042",0,0,0,1
"ENSMUSG00000035202",99,51,186,12
"ENSMUSG00000035437",0,1,0,0
"ENSMUSG00000035530",0,0,0,52
"ENSMUSG00000036095",0,0,29,0
"ENSMUSG00000036192",0,1,0,0
"ENSMUSG00000037071",1,1,0,0
"ENSMUSG00000037242",1,0,0,0
"ENSMUSG00000037742",1,0,0,0
"ENSMUSG00000037826",0,0,1,0
"ENSMUSG00000037966",0,0,1,0
"ENSMUSG00000038095",2,0,4,4
"ENSMUSG00000038252",0,0,1,0
"ENSMUSG00000038374",1,0,0,0
"ENSMUSG00000038615",0,0,285,0
"ENSMUSG00000038936",1,0,0,0
"ENSMUSG00000039001",0,0,0,1
"ENSMUSG00000039753",1,0,0,0
"ENSMUSG00000039929",0,42,0,0
"ENSMUSG00000040433",0,1,0,0
"ENSMUSG00000040511",0,4,0,0
"ENSMUSG00000041028",1,0,0,0
"ENSMUSG00000041308",0,0,0,1
"ENSMUSG00000042520",0,152,0,0
"ENSMUSG00000042650",0,0,1,0
"ENSMUSG00000044068",0,1,0,0
"ENSMUSG00000044365",1,0,0,0
"ENSMUSG00000045333",0,2,0,0
"ENSMUSG00000048915",1,0,0,0
"ENSMUSG00000049091",0,8,0,0
