Ensembl	Name	Biotype	GeneLength	SumExonLength
ENSMUSG00000029836	Cbx3	protein_coding	13345	5992
ENSMUSG00000029837	1700111E14Rik	antisense	48737	908
ENSMUSG00000029830	Svopl	protein_coding	63258	5814
ENSMUSG00000005864	Cnga2	protein_coding	18370	3095
ENSMUSG00000029831	Npvf	protein_coding	3768	812
ENSMUSG00000029832	Nfe2l3	protein_coding	26099	2973
ENSMUSG00000029833	Trim24	protein_coding	95486	8521
ENSMUSG00000029838	Ptn	protein_coding	95292	3433
ENSMUSG00000030827	Fgf21	protein_coding	1605	951
ENSMUSG00000030825	Hsd17b14	protein_coding	12860	2046
ENSMUSG00000030826	Bcat2	protein_coding	19559	3900
ENSMUSG00000030823	9130019O22Rik	protein_coding	4907	3878
ENSMUSG00000030824	Nucb1	protein_coding	19949	8212
ENSMUSG00000030822	Prr14	protein_coding	17149	4455
ENSMUSG00000005871	Apc	protein_coding	101629	16116
ENSMUSG00000029823	Luc7l2	protein_coding	58137	12084
ENSMUSG00000029826	Zc3hav1	protein_coding	49318	6518
ENSMUSG00000029821	Gsdme	protein_coding	74975	12742
ENSMUSG00000029822	Osbpl3	protein_coding	162872	9021
ENSMUSG00000005873	Reep5	protein_coding	29186	3151
ENSMUSG00000030816	Rnf40	protein_coding	16033	5621
ENSMUSG00000029828	4921507P07Rik	protein_coding	23331	2378
ENSMUSG00000029829	Tmem213	protein_coding	6555	631
ENSMUSG00000030814	Bcl7c	protein_coding	47478	7222
ENSMUSG00000054808	Actn4	protein_coding	69093	6127
ENSMUSG00000030815	Phkg2	protein_coding	9968	4000
ENSMUSG00000030811	Fbxl19	protein_coding	24941	4542
ENSMUSG00000029813	Doxl1	protein_coding	3793	2485
ENSMUSG00000005846	Rsl1d1	protein_coding	10362	2258
ENSMUSG00000029814	Igf2bp3	protein_coding	129735	8159
ENSMUSG00000029815	Malsu1	protein_coding	12957	3777
ENSMUSG00000029810	Tmem176b	protein_coding	7679	2371
ENSMUSG00000029811	Aoc1	protein_coding	36293	3256
ENSMUSG00000029816	Gpnmb	protein_coding	34384	6514
ENSMUSG00000030805	Stx4a	protein_coding	24726	2364
ENSMUSG00000029817	Tra2a	protein_coding	20110	6945
ENSMUSG00000030806	Stx1b	protein_coding	20650	4802
ENSMUSG00000029819	Npy	protein_coding	6798	566
ENSMUSG00000030804	Gm21974	protein_coding	9228	2037
ENSMUSG00000030801	Kat8	protein_coding	13322	2891
ENSMUSG00000030802	Bckdk	protein_coding	6140	3695
ENSMUSG00000054814	Usp46	protein_coding	69979	7841
ENSMUSG00000030800	Prss8	protein_coding	4389	1852
ENSMUSG00000029802	Abcg2	protein_coding	111154	8153
ENSMUSG00000029804	Herc3	protein_coding	88934	9127
ENSMUSG00000054827	Cyp2c50	protein_coding	24263	2918
ENSMUSG00000054823	Nsd3	protein_coding	118067	16513
ENSMUSG00000054822	1700041G16Rik	lincRNA	3772	1824
ENSMUSG00000029878	Dbpht2	lincRNA	5341	5341
ENSMUSG00000029875	Ccdc184	protein_coding	2977	2977
ENSMUSG00000030869	Ndufab1	protein_coding	16484	6883
ENSMUSG00000030867	Plk1	protein_coding	10435	2199
ENSMUSG00000030868	Dctn5	protein_coding	16004	2649
ENSMUSG00000030865	Chp2	protein_coding	3329	1603
ENSMUSG00000030866	Ern2	protein_coding	16315	2964
ENSMUSG00000015222	Map2	protein_coding	267311	16456
ENSMUSG00000015224	Cyp2j9	protein_coding	23150	3337
ENSMUSG00000030861	Acadsb	protein_coding	38344	7179
ENSMUSG00000030862	Cpxm2	protein_coding	122053	4622
ENSMUSG00000029860	Zyx	protein_coding	10584	5390
ENSMUSG00000029861	Fam131b	protein_coding	9332	4104
ENSMUSG00000029862	Clcn1	protein_coding	29072	5428
ENSMUSG00000029867	Llcfc1	protein_coding	1287	741
ENSMUSG00000029868	Trpv6	protein_coding	15782	3936
ENSMUSG00000029869	Ephb6	protein_coding	15028	3773
ENSMUSG00000029863	Casp2	protein_coding	17524	7057
ENSMUSG00000029864	Gstk1	protein_coding	4513	1469
ENSMUSG00000029865	Sval1	protein_coding	4469	615
ENSMUSG00000029866	Kel	protein_coding	18010	2773
ENSMUSG00000030858	Fam24b	protein_coding	3573	680
ENSMUSG00000030859	Fam24a	protein_coding	3064	851
ENSMUSG00000030854	Ptpn5	protein_coding	55890	5794
ENSMUSG00000030852	Tacc2	protein_coding	187348	15793
ENSMUSG00000030850	Ate1	protein_coding	128877	5579
ENSMUSG00000030851	Ldhc	protein_coding	16940	1580
ENSMUSG00000005881	Ergic3	protein_coding	10235	2121
ENSMUSG00000005882	Uqcc1	protein_coding	83417	6044
ENSMUSG00000029851	Tcaf2	protein_coding	22239	4778
ENSMUSG00000029859	Epha1	protein_coding	14782	3928
ENSMUSG00000005886	Ncoa2	protein_coding	234979	15642
ENSMUSG00000005883	Spo11	protein_coding	15877	3921
